icao24,callsign,lon,lat,altitude,timestamp
400a08,TCX1TN,14.6531,46.1663,10812.78,1567555200
400a08,TCX1TN,14.6057,46.1921,10812.78,1567555220
400a08,TCX1TN,14.5598,46.217,10812.78,1567555240
400a08,TCX1TN,14.5125,46.2426,10805.16,1567555260
400a08,TCX1TN,14.4656,46.2679,10812.78,1567555280
400a08,TCX1TN,14.4184,46.2934,10805.16,1567555300
400a08,TCX1TN,14.3717,46.3187,10805.16,1567555320
400a08,TCX1TN,14.3248,46.3439,10805.16,1567555340
400a08,TCX1TN,14.2781,46.369,10805.16,1567555360
400a08,TCX1TN,14.2317,46.394,10805.16,1567555380
400a08,TCX1TN,14.1845,46.4193,10812.78,1567555400
400a08,TCX1TN,14.1395,46.4434,10805.16,1567555420
400a08,TCX1TN,14.0928,46.4682,10805.16,1567555440
400a08,TCX1TN,14.0469,46.4927,10805.16,1567555460
400a08,TCX1TN,13.9997,46.5179,10797.54,1567555480
400a08,TCX1TN,13.953,46.5427,10797.54,1567555500
400a08,TCX1TN,13.9069,46.5671,10805.16,1567555520
400a08,TCX1TN,13.859,46.5925,10805.16,1567555540
400a08,TCX1TN,13.8118,46.6174,10805.16,1567555560
400a08,TCX1TN,13.719,46.6663,10812.78,1567555600
400a08,TCX1TN,13.6724,46.6908,10812.78,1567555620
400a08,TCX1TN,13.625,46.7156,10812.78,1567555640
400a08,TCX1TN,13.5781,46.7402,10805.16,1567555660
400a08,TCX1TN,13.5319,46.7644,10805.16,1567555680
400a08,TCX1TN,13.4857,46.7885,10805.16,1567555700
400a08,TCX1TN,13.4384,46.8131,10805.16,1567555720
400a08,TCX1TN,13.3921,46.8372,10805.16,1567555740
400a08,TCX1TN,13.3454,46.8615,10805.16,1567555760
400a08,TCX1TN,13.2982,46.886,10797.54,1567555780
400a08,TCX1TN,13.2528,46.9095,10805.16,1567555800
400a08,TCX1TN,13.2057,46.9338,10805.16,1567555820
400a08,TCX1TN,13.1586,46.9581,10805.16,1567555840
400a08,TCX1TN,13.1118,46.9823,10812.78,1567555860
400a08,TCX1TN,13.0653,47.0062,10812.78,1567555880
400a08,TCX1TN,13.0178,47.0305,10820.4,1567555900
400a08,TCX1TN,12.9705,47.0548,10812.78,1567555920
400a08,TCX1TN,12.9227,47.0792,10812.78,1567555940
400a08,TCX1TN,12.8753,47.1034,10812.78,1567555960
400a08,TCX1TN,12.8281,47.1275,10812.78,1567555980
400a08,TCX1TN,12.7804,47.1518,10812.78,1567556000
400a08,TCX1TN,12.7331,47.1758,10812.78,1567556020
400a08,TCX1TN,12.6855,47.1999,10812.78,1567556040
400a08,TCX1TN,12.6378,47.224,10805.16,1567556060
400a08,TCX1TN,12.5905,47.2481,10805.16,1567556080
400a08,TCX1TN,12.5429,47.2721,10805.16,1567556100
400a08,TCX1TN,12.4961,47.2957,10805.16,1567556120
400a08,TCX1TN,12.4488,47.3195,10805.16,1567556140
400a08,TCX1TN,12.4006,47.3436,10805.16,1567556160
400a08,TCX1TN,12.353,47.3675,10805.16,1567556180
400a08,TCX1TN,12.3057,47.3911,10805.16,1567556200
400a08,TCX1TN,12.2605,47.4137,10805.16,1567556220
400a08,TCX1TN,12.213,47.4382,10805.16,1567556240
400a08,TCX1TN,12.1663,47.4629,10805.16,1567556260
400a08,TCX1TN,12.1202,47.4873,10812.78,1567556280
400a08,TCX1TN,12.0732,47.5119,10812.78,1567556300
400a08,TCX1TN,12.0265,47.5362,10812.78,1567556320
400a08,TCX1TN,11.9793,47.5605,10812.78,1567556340
400a08,TCX1TN,11.9317,47.585,10812.78,1567556360
400a08,TCX1TN,11.8845,47.6093,10805.16,1567556380
400a08,TCX1TN,11.8366,47.6338,10805.16,1567556400
400a08,TCX1TN,11.7903,47.6575,10805.16,1567556420
400a08,TCX1TN,11.7426,47.6819,10805.16,1567556440
400a08,TCX1TN,11.6957,47.7058,10797.54,1567556460
400a08,TCX1TN,11.6473,47.7305,10805.16,1567556480
400a08,TCX1TN,11.6003,47.7544,10805.16,1567556500
400a08,TCX1TN,11.5534,47.7783,10805.16,1567556520
400a08,TCX1TN,11.5063,47.8022,10812.78,1567556540
400a08,TCX1TN,11.4586,47.8263,10805.16,1567556560
